Fecha,2022,2021,2020,2019,2018
2020-01-01,2161,2145,1900,1816,2002
2020-01-02,1980,2056,1895,1911,2111
2020-01-03,2140,2151,1949,1850,2114
2020-01-04,2215,2199,1825,1878,2134
2020-01-05,2157,2175,1734,1889,2070
2020-01-06,2120,2116,1975,1880,1991
2020-01-07,2114,2110,1987,1966,1984
2020-01-08,2106,2157,1939,1937,2053
2020-01-09,2068,2172,1964,1947,2037
2020-01-10,2248,2054,1931,1931,1944
2020-01-11,2138,2207,1860,1911,2013
2020-01-12,2142,2171,1784,2009,1960
2020-01-13,2104,2190,1812,1917,1959
2020-01-14,2034,2214,1933,1974,1902
2020-01-15,2138,2103,1893,1955,1828
2020-01-16,2163,2061,1880,1974,1949
2020-01-17,2134,2012,1840,1938,1960
2020-01-18,2188,2197,1759,1932,1915
2020-01-19,2091,2184,1726,1909,1935
2020-01-20,2191,2243,1789,1831,1905
2020-01-21,2178,2324,1810,1931,1945
2020-01-22,2138,2291,1793,2043,1865
2020-01-23,1979,2090,1789,1980,1842
2020-01-24,2346,2117,1845,1910,1869
2020-01-25,2264,2117,1809,2020,1857
2020-01-26,2228,2145,1755,2064,1800
2020-01-27,2133,2135,1878,1987,1762
2020-01-28,2213,2214,1816,2079,1705
2020-01-29,2174,2249,1864,2013,1777
2020-01-30,2134,2148,1779,2008,1811
2020-01-31,2265,2042,1853,2028,1809
2020-02-01,2298,2287,1742,2150,1748
2020-02-02,2243,2050,1859,2035,1774
2020-02-03,2273,2129,1887,1896,1725
2020-02-04,2174,2108,1871,2032,1767
2020-02-05,2168,2129,1743,2097,1857
2020-02-06,2110,2041,1813,2095,1859
2020-02-07,2180,1982,1832,2028,1842
2020-02-08,2125,2128,1807,2067,1798
2020-02-09,2093,2074,1718,2042,1844
2020-02-10,2110,2087,1828,1958,1908
2020-02-11,2028,2040,1792,2016,1844
2020-02-12,2065,2135,1796,1972,1818
2020-02-13,2080,2019,1776,1992,1864
2020-02-14,2085,1978,1771,1979,1851
2020-02-15,1998,2061,1759,2018,1786
2020-02-16,2067,2119,1798,2000,1965
2020-02-17,2101,2056,1874,1881,1849
2020-02-18,1957,2098,1759,2011,1762
2020-02-19,1922,2134,1686,2102,1953
2020-02-20,1957,1967,1707,2007,1924
2020-02-21,1994,1999,1762,1965,1856
2020-02-22,1852,1925,1641,1992,1847
2020-02-23,1876,2073,1680,1832,1949
2020-02-24,1879,2001,1742,1833,1922
2020-02-25,1905,1930,1704,2019,1930
2020-02-26,1794,1918,1811,1939,2002
2020-02-27,1755,1899,1767,1957,1966
2020-02-28,1893,1899,1769,1925,1969
2020-02-29,,,1715,,
2020-03-01,1961,1920,1782,1872,2136
2020-03-02,1886,2065,1786,1910,2191
2020-03-03,1988,1878,1773,1748,2128
2020-03-04,1905,1881,1817,1880,2090
2020-03-05,1766,1850,1783,1868,2201
2020-03-06,1738,1893,1847,1870,2158
2020-03-07,1854,1771,1695,1859,2054
2020-03-08,1862,1904,1714,1800,2106
2020-03-09,1899,1930,1831,1774,2048
2020-03-10,1870,1920,1840,1668,2086
2020-03-11,1869,1839,1910,1766,1942
2020-03-12,1840,1904,1805,1706,2047
2020-03-13,1696,1880,1791,1691,1980
2020-03-14,1841,1742,1790,1718,1927
2020-03-15,1898,1928,1860,1746,1898
2020-03-16,1809,1903,2004,1720,1907
2020-03-17,1759,1915,2056,1635,1840
2020-03-18,1861,1917,2015,1757,1791
2020-03-19,1794,1949,2130,1684,1823
2020-03-20,1746,1867,2052,1662,1792
2020-03-21,1752,1800,1946,1701,1902
2020-03-22,1761,1840,2016,1688,1893
2020-03-23,1919,1937,2175,1698,1826
2020-03-24,1893,1936,2178,1629,1885
2020-03-25,1826,1948,2346,1665,1817
2020-03-26,1843,1886,2390,1625,1853
2020-03-27,1736,1852,2432,1686,1860
2020-03-28,1893,1707,2533,1690,1827
2020-03-29,1959,1931,2397,1664,1827
2020-03-30,1993,1966,2690,1637,1803
2020-03-31,1841,2018,2758,1619,1768
2020-04-01,1869,1960,2811,1689,1781
2020-04-02,1772,1944,2659,1701,1715
2020-04-03,1792,1865,2778,1686,1851
2020-04-04,1900,1841,2702,1668,1755
2020-04-05,1871,1817,2693,1663,1762
2020-04-06,1960,1911,2722,1649,1731
2020-04-07,2024,1857,2659,1675,1740
2020-04-08,1922,1888,2606,1664,1716
2020-04-09,1879,2005,2519,1622,1735
2020-04-10,1835,1938,2592,1667,1804
2020-04-11,1952,1882,2442,1607,1706
2020-04-12,2046,1827,2271,1623,1733
2020-04-13,1963,1862,2383,1555,1670
2020-04-14,1970,1951,2345,1519,1616
2020-04-15,1897,1871,2260,1624,1667
2020-04-16,1873,2060,2191,1667,1692
2020-04-17,1800,1893,2322,1727,1642
2020-04-18,1856,1912,2155,1614,1648
2020-04-19,1877,1978,2022,1679,1746
2020-04-20,1998,1963,1907,1676,1762
2020-04-21,1913,1951,1919,1565,1755
2020-04-22,1820,1912,1908,1659,1578
2020-04-23,1757,1938,1893,1686,1600
2020-04-24,1765,1924,1869,1743,1603
2020-04-25,1863,1855,1835,1644,1577
2020-04-26,1808,1949,1725,1621,1557
2020-04-27,1800,1994,1691,1562,1568
2020-04-28,1768,1930,1760,1589,1583
2020-04-29,1756,1825,1701,1554,1574
2020-04-30,1771,1895,1636,1557,1562
2020-05-01,1645,1703,1539,1659,1484
2020-05-02,1794,1734,1623,1642,1582
2020-05-03,1844,1838,1586,1593,1469
2020-05-04,1742,1818,1699,1587,1640
2020-05-05,1804,1801,1655,1509,1603
2020-05-06,1723,1882,1624,1683,1579
2020-05-07,1723,1850,1606,1638,1589
2020-05-08,1700,1749,1614,1597,1552
2020-05-09,1712,1844,1541,1593,1530
2020-05-10,1747,1807,1574,1668,1435
2020-05-11,1653,1772,1528,1525,1571
2020-05-12,1663,1715,1571,1568,1512
2020-05-13,1711,1642,1602,1537,1394
2020-05-14,1640,1703,1550,1606,1475
2020-05-15,1695,1581,1651,1616,1486
2020-05-16,1723,1584,1589,1613,1540
2020-05-17,1710,1645,1524,1628,1551
2020-05-18,1690,1679,1622,1631,1575
2020-05-19,1643,1682,1700,1570,1518
2020-05-20,1611,1689,1689,1645,1533
2020-05-21,1603,1625,1731,1583,1553
2020-05-22,1628,1597,1688,1555,1539
2020-05-23,1602,1606,1572,1658,1608
2020-05-24,1603,1631,1373,1648,1589
2020-05-25,1531,1641,1533,1507,1564
2020-05-26,1403,1601,1569,1463,1602
2020-05-27,1551,1616,1518,1544,1569
2020-05-28,1454,1632,1599,1532,1602
2020-05-29,1522,1676,1528,1494,1573
2020-05-30,1500,1572,1484,1452,1552
2020-05-31,1569,1696,1467,1556,1485
2020-06-01,1661,1661,1526,1574,1476
2020-06-02,1642,1660,1599,1555,1537
2020-06-03,1721,1576,1541,1609,1520
2020-06-04,1639,1648,1595,1570,1505
2020-06-05,1638,1479,1457,1511,1440
2020-06-06,1537,1431,1556,1496,1476
2020-06-07,1579,1595,1369,1482,1467
2020-06-08,1540,1566,1448,1484,1568
2020-06-09,1550,1577,1559,1448,1473
2020-06-10,1561,1599,1501,1460,1445
2020-06-11,1536,1546,1586,1498,1504
2020-06-12,1580,1597,1540,1484,1517
2020-06-13,1569,1530,1537,1554,1419
2020-06-14,1641,1576,1489,1500,1434
2020-06-15,1624,1648,1534,1566,1490
2020-06-16,1638,1672,1572,1517,1454
2020-06-17,1646,1675,1491,1620,1433
2020-06-18,1765,1621,1540,1551,1442
2020-06-19,1755,1559,1507,1611,1525
2020-06-20,1720,1414,1511,1547,1557
2020-06-21,1712,1473,1557,1477,1555
2020-06-22,1667,1430,1629,1462,1506
2020-06-23,1614,1480,1665,1496,1404
2020-06-24,1519,1388,1614,1571,1470
2020-06-25,1585,1495,1728,1575,1480
2020-06-26,1464,1451,1739,1634,1588
2020-06-27,1543,1442,1566,1637,1606
2020-06-28,1549,1472,1449,1667,1617
2020-06-29,1554,1513,1416,1631,1582
2020-06-30,1441,1446,1486,1695,1557
2020-07-01,1552,1488,1503,1653,1714
2020-07-02,1516,1506,1506,1526,1646
2020-07-03,1596,1553,1427,1537,1677
2020-07-04,1628,1467,1408,1538,1598
2020-07-05,1616,1599,1544,1570,1573
2020-07-06,1709,1559,1491,1643,1510
2020-07-07,1627,1451,1502,1536,1520
2020-07-08,1719,1494,1463,1447,1488
2020-07-09,1719,1591,1608,1514,1550
2020-07-10,1723,1568,1635,1451,1551
2020-07-11,1799,1575,1436,1616,1451
2020-07-12,1913,1516,1456,1570,1472
2020-07-13,1902,1531,1487,1529,1512
2020-07-14,1839,1386,1512,1434,1492
2020-07-15,1734,1510,1494,1412,1491
2020-07-16,1772,1578,1469,1474,1600
2020-07-17,1749,1517,1524,1535,1544
2020-07-18,1930,1593,1449,1550,1548
2020-07-19,2098,1716,1461,1574,1605
2020-07-20,1952,1784,1573,1615,1520
2020-07-21,1904,1687,1517,1450,1501
2020-07-22,1869,1673,1505,1566,1427
2020-07-23,1797,1777,1555,1618,1540
2020-07-24,1694,1664,1582,1702,1577
2020-07-25,1746,1536,1592,1861,1680
2020-07-26,1740,1631,1503,1868,1603
2020-07-27,1675,1544,1560,1544,1703
2020-07-28,1619,1535,1575,1474,1595
2020-07-29,1711,1526,1535,1452,1502
2020-07-30,1654,1618,1612,1467,1601
2020-07-31,1683,1584,1749,1415,1560
2020-08-01,1769,1587,1612,1502,1563
2020-08-02,1763,1509,1513,1533,1488
2020-08-03,1748,1576,1480,1509,1554
2020-08-04,1891,1518,1488,1494,1651
2020-08-05,1646,1603,1480,1493,1589
2020-08-06,1635,1701,1613,1563,1670
2020-08-07,1544,1601,1622,1517,1768
2020-08-08,1705,1540,1649,1509,1661
2020-08-09,1674,1633,1682,1631,1535
2020-08-10,1673,1728,1836,1474,1435
2020-08-11,1741,1649,1827,1411,1416
2020-08-12,1759,1791,1840,1441,1514
2020-08-13,1779,1819,1789,1427,1511
2020-08-14,1654,1801,1602,1457,1525
2020-08-15,1633,1733,1617,1456,1385
2020-08-16,1620,1704,1579,1487,1462
2020-08-17,1624,1691,1490,1512,1497
2020-08-18,1511,1752,1600,1461,1391
2020-08-19,1513,1640,1540,1461,1398
2020-08-20,1501,1779,1580,1502,1549
2020-08-21,1346,1696,1565,1524,1574
2020-08-22,1413,1672,1524,1407,1573
2020-08-23,,1667,1482,1586,1568
2020-08-24,,1663,1589,1570,1495
2020-08-25,,1657,1511,1566,1465
2020-08-26,,1691,1611,1582,1395
2020-08-27,,1668,1570,1653,1518
2020-08-28,,1661,1616,1641,1582
2020-08-29,,1576,1497,1587,1573
2020-08-30,,1690,1416,1632,1422
2020-08-31,,1659,1516,1475,1470
2020-09-01,,1673,1540,1510,1399
2020-09-02,,1730,1516,1476,1408
2020-09-03,,1704,1554,1488,1478
2020-09-04,,1796,1676,1526,1560
2020-09-05,,1749,1627,1416,1611
2020-09-06,,1814,1494,1473,1560
2020-09-07,,1817,1597,1517,1606
2020-09-08,,1782,1621,1469,1415
2020-09-09,,1807,1666,1522,1526
2020-09-10,,1760,1647,1525,1566
2020-09-11,,1656,1662,1551,1559
2020-09-12,,1603,1631,1544,1567
2020-09-13,,1660,1676,1593,1599
2020-09-14,,1694,1717,1520,1531
2020-09-15,,1802,1829,1545,1527
2020-09-16,,1622,1715,1619,1438
2020-09-17,,1565,1670,1613,1561
2020-09-18,,1513,1759,1479,1520
2020-09-19,,1474,1769,1548,1562
2020-09-20,,1615,1676,1648,1589
2020-09-21,,1558,1661,1652,1548
2020-09-22,,1546,1588,1589,1489
2020-09-23,,1565,1578,1527,1506
2020-09-24,,1690,1609,1469,1469
2020-09-25,,1674,1586,1556,1506
2020-09-26,,1640,1581,1610,1453
2020-09-27,,1689,1568,1526,1612
2020-09-28,,1671,1718,1566,1642
2020-09-29,,1552,1707,1528,1554
2020-09-30,,1653,1754,1577,1462
2020-10-01,,1699,1782,1629,1572
2020-10-02,,1717,1751,1608,1577
2020-10-03,,1678,1743,1606,1614
2020-10-04,,1638,1713,1596,1719
2020-10-05,,1646,1701,1584,1645
2020-10-06,,1718,1815,1598,1674
2020-10-07,,1699,1705,1598,1518
2020-10-08,,1681,1743,1624,1520
2020-10-09,,1642,1841,1589,1655
2020-10-10,,1707,1702,1621,1662
2020-10-11,,1743,1628,1665,1686
2020-10-12,,1799,1763,1626,1666
2020-10-13,,1715,1726,1644,1601
2020-10-14,,1798,1727,1670,1606
2020-10-15,,1817,1801,1641,1659
2020-10-16,,1776,1829,1669,1639
2020-10-17,,1748,1854,1593,1595
2020-10-18,,1819,1762,1620,1570
2020-10-19,,1788,1873,1606,1562
2020-10-20,,1804,1949,1625,1514
2020-10-21,,1806,2067,1618,1482
2020-10-22,,1719,2049,1609,1560
2020-10-23,,1675,2017,1669,1638
2020-10-24,,1675,1948,1650,1611
2020-10-25,,1820,2078,1699,1660
2020-10-26,,1805,1957,1631,1576
2020-10-27,,1784,2098,1582,1603
2020-10-28,,1783,2124,1624,1616
2020-10-29,,1757,2169,1610,1598
2020-10-30,,1802,2151,1663,1749
2020-10-31,,1816,2153,1670,1675
2020-11-01,,1673,2242,1704,1594
2020-11-02,,1746,2289,1720,1603
2020-11-03,,1703,2201,1658,1598
2020-11-04,,1738,2214,1718,1621
2020-11-05,,1695,2237,1629,1754
2020-11-06,,1729,2300,1710,1696
2020-11-07,,1697,2342,1729,1713
2020-11-08,,1761,2314,1624,1646
2020-11-09,,1716,2309,1784,1601
2020-11-10,,1763,2251,1631,1676
2020-11-11,,1808,2219,1545,1628
2020-11-12,,1832,2296,1740,1692
2020-11-13,,1812,2296,1735,1747
2020-11-14,,1725,2217,1771,1606
2020-11-15,,1822,2163,1763,1647
2020-11-16,,1855,2283,1723,1585
2020-11-17,,1767,2174,1722,1628
2020-11-18,,1719,2243,1752,1579
2020-11-19,,1845,2246,1774,1616
2020-11-20,,1828,2100,1747,1656
2020-11-21,,1722,2089,1751,1685
2020-11-22,,1898,2146,1863,1625
2020-11-23,,1809,2233,1811,1712
2020-11-24,,1896,2228,1680,1733
2020-11-25,,1932,2138,1780,1687
2020-11-26,,1878,2145,1825,1671
2020-11-27,,1853,2191,1804,1698
2020-11-28,,1872,2062,1708,1711
2020-11-29,,1923,1987,1819,1681
2020-11-30,,1923,2114,1712,1679
2020-12-01,,1986,2102,1621,1719
2020-12-02,,1957,2101,1736,1668
2020-12-03,,2027,2199,1787,1691
2020-12-04,,1997,2133,1745,1686
2020-12-05,,1958,2064,1770,1674
2020-12-06,,2002,2117,1686,1660
2020-12-07,,2035,2037,1774,1666
2020-12-08,,2074,2118,1694,1642
2020-12-09,,2068,2155,1772,1561
2020-12-10,,2099,2126,1758,1618
2020-12-11,,1976,2222,1718,1664
2020-12-12,,2034,2105,1832,1741
2020-12-13,,2028,2033,1864,1661
