Fecha,Semanalmente (de viernes a jueves),Media INE2018,Año y semana,Original sin corrección
2020-05-30,5039,8204,2020-23,
2020-06-05,6731,8204,2020-24,
2020-06-12,6694,8204,2020-25,
2020-06-19,6199,8204,2020-26,
2020-06-26,7590,8204,2020-27,
2020-07-03,7246,8204,2020-28,
2020-07-10,7322,8204,2020-29,
2020-07-17,7134,8204,2020-30,
2020-07-24,7297,8204,2020-31,
2020-07-31,7813,8204,2020-32,
2020-08-07,7873,8204,2020-33,
2020-08-14,7261,8204,2020-34,
2020-08-21,7659,8204,2020-35,
2020-08-28,7417,8204,2020-36,
2020-09-04,7097,8204,2020-37,
2020-09-11,7965,8204,2020-38,
2020-09-18,7881,8204,2020-39,
2020-09-25,7752,8204,2020-40,
2020-10-02,8085,8204,2020-41,
2020-10-09,8356,8204,2020-42,6091
2020-10-16,8356,8204,2020-43,10621
2020-10-23,9212,8204,2020-44,
2020-10-30,9155,8204,2020-45,
2020-11-06,9931,8204,2020-46,
2020-11-13,9441,8204,2020-47,
2020-11-20,9130,8204,2020-48,
2020-11-27,8996,8204,2020-49,
2020-12-04,9219.5,8204,2020-50,7926
2020-12-11,9219.5,8204,2020-51,10513
2020-12-18,8592,8204,2020-52,9132
2020-12-25,8592,8204,2020-53,8052
2021-01-01,9214.5,8204,2021-01,4806
2021-01-08,9214.5,8204,2021-02,13623
2021-01-15,12030,8204,2021-03,
2021-01-22,12448,8204,2021-04,
2021-01-29,12086,8204,2021-05,
2021-02-05,11229,8204,2021-06,
2021-02-12,10082,8204,2021-07,
2021-02-19,9208,8204,2021-08,
2021-02-26,8598,8204,2021-09,
2021-03-05,8229,8204,2021-10,
2021-03-12,8123,8204,2021-11,
2021-03-19,7753,8204,2021-12,
2021-03-26,7836,8204,2021-13,
2021-04-02,6947,8204,2021-14,
2021-04-09,8170,8204,2021-15,2882
2021-04-16,8170,8204,2021-16,13458
2021-04-23,7638,8204,2021-17,
2021-04-30,7581,8204,2021-18,
2021-05-07,7680,8204,2021-19,
2021-05-14,7275,8204,2021-20,
2021-05-21,7074,8204,2021-21,
2021-05-28,7081,8204,2021-22,
2021-06-04,6927,8204,2021-23,
2021-06-11,7622,8204,2021-24,
2021-06-18,7066,8204,2021-25,
2021-06-25,6811,8204,2021-26,
2021-07-02,7382,8204,2021-27,
2021-07-09,7124,8204,2021-28,
2021-07-16,7205,8204,2021-29,
2021-07-23,7870,8204,2021-30,
2021-07-30,7844,8204,2021-31,
2021-08-06,7984,8204,2021-32,
2021-08-13,8252,8204,2021-33,
2021-08-20,8237,8204,2021-34,
2021-08-27,7973,8204,2021-35,
2021-09-03,7254,8204,2021-36,
2021-09-10,7601,8204,2021-37,
2021-09-17,7417,8204,2021-38,
2021-09-24,6684,8204,2021-39,
2021-10-01,7454,8204,2021-40,
2021-10-08,6720,8204,2021-41,
2021-10-15,8048,8204,2021-42,
2021-10-22,7528,8204,2021-43,
2021-10-29,7149,8204,2021-44,
2021-11-05,8149,8204,2021-45,
2021-11-12,8439,8204,2021-46,
2021-11-19,8653,8204,2021-47,
2021-11-26,8586,8204,2021-48,
2021-12-03,8624.5,8204,2021-49,6370
2021-12-10,8624.5,8204,2021-50,10879
2021-12-17,9303,8204,2021-51,
2021-12-24,8910,8204,2021-52,
2021-12-31,9050,8204,2022-01,
2022-01-07,9258,8204,2022-02,
2022-01-14,10538,8204,2022-03,
2022-01-21,10330,8204,2022-04,
2022-01-28,10670,8204,2022-05,
2022-02-04,10745,8204,2022-06,
2022-02-11,9660,8204,2022-07,
2022-02-18,9142,8204,2022-08,
2022-02-25,8276,8204,2022-09,
2022-03-04,8590,8204,2022-10,
2022-03-11,7385,8204,2022-11,
2022-03-18,8856,8204,2022-12,
2022-03-25,8337,8204,2022-13,
2022-04-01,8225,8204,2022-14,
2022-04-08,8648,8204,2022-15,
2022-04-15,1315,8204,2022-16,
