Mes,INE,MoMo
January\n2015,,47855.64
February\n2015,,42902.82
March\n2015,,39409.9
April\n2015,,34044.12
May\n2015,,33041.51
June\n2015,,31361.12
July\n2015,,35788.77
August\n2015,,31382.24
September\n2015,,29112.43
October\n2015,,32248.62
November\n2015,,32753.82
December\n2015,,36857.62
January\n2016,,38869.67
February\n2016,,35965.44
March\n2016,,38653.42
April\n2016,,34186.09
May\n2016,,33364.04
June\n2016,,31860.58
July\n2016,,33233.41
August\n2016,,32309.26
September\n2016,,30336.01
October\n2016,,32407.93
November\n2016,,34114.12
December\n2016,,39698.86
January\n2017,,49953.38
February\n2017,,37803.39
March\n2017,,36187.23
April\n2017,,33574
May\n2017,,34173.37
June\n2017,,32569.49
July\n2017,,32183.55
August\n2017,,32575.3
September\n2017,,30378.1
October\n2017,,33085.7
November\n2017,,34604.24
December\n2017,,42118.81
January\n2018,47911,48486.55
February\n2018,39756,40242.73
March\n2018,39772,40213.01
April\n2018,34956,35456.59
May\n2018,33421,33800.49
June\n2018,31970,32286.16
July\n2018,32215,32488.74
August\n2018,33177,33405.45
September\n2018,30293,30613.2
October\n2018,32879,33262.57
November\n2018,34338,34788.63
December\n2018,37033,37533.59
January\n2019,44241,45216.88
February\n2019,36826,38239.01
March\n2019,35154,37609.04
April\n2019,34070,34771.26
May\n2019,33734,34385.73
June\n2019,31764,32211.81
July\n2019,33383,33873.97
August\n2019,31453,31964.98
September\n2019,29665,30308.37
October\n2019,31885,33259.07
November\n2019,33523,35259.92
December\n2019,34582,37382.61
January\n2020,,43172.22
February\n2020,,36676.83
March\n2020,,58584.77
April\n2020,,60676.44
May\n2020,,35278.9
June\n2020,,30902.14
July\n2020,,34871.01
August\n2020,,36146.04
September\n2020,,34948.07
October\n2020,,40235.85
November\n2020,,42860
December\n2020,,42173.57
January\n2021,,52616.62
February\n2021,,41036.2
March\n2021,,37235.42
April\n2021,,34869.5
May\n2021,,34433.53
June\n2021,,32687.24
July\n2021,,35512.6
August\n2021,,38407.14
September\n2021,,33128.48
October\n2021,,34884.36
November\n2021,,37252.16
December\n2021,,42558.68
January\n2022,,47321.78
February\n2022,,39083.56
March\n2022,,38236.2
April\n2022,,36979.23
May\n2022,,38121.26
June\n2022,,37154.65
July\n2022,,17944.8
August\n2022,,
September\n2022,,
October\n2022,,
November\n2022,,
December\n2022,,
