Mes;Over 74 years old MoMoOld;Over 74 years old MoMoNew;Over 74 years old 2019;Over 74 years old 2018;Between 65 and 74 years old MoMoOld;Between 65 and 74 years old MoMoNew;Between 65 and 74 years old 2019;Between 65 and 74 years old 2018;Under 65 years old MoMoOld;Under 65 years old MoMoNew;Under 65 years old 2019;Under 65 years old 2018
January;29975;29975;33074;35997;5414;5414;5665;6027;5294;5294;5502;5887
February;25229;25229;27291;29643;4631;4631;4868;5081;4705;4705;4667;5032
March;36703;40905;25854;29271;6678;7457;4773;5299;5372;6055;4527;5202
April;38955;43827;24729;25622;6107;6828;4670;4549;5009;5608;4671;4785
May;20478;20478;24348;23994;3988;3988;4616;4600;4058;4058;4770;4827
June;;;22608;22793;;;4453;4407;;;4703;4770
July;;;23909;22947;;;4504;4444;;;4970;4824
August;;;22146;23606;;;4522;4696;;;4785;4875
September;;;20787;21152;;;4319;4392;;;4559;4749
October;;;22727;23345;;;4406;4654;;;4752;4880
November;;;24164;24809;;;4704;4746;;;4655;4783
December;;;25225;26777;;;4697;5151;;;4660;5105
