Mes,2020-05-07,2020-05-23,2020-05-27,2020-05-30,2021-04-20,2021-04-21,2022-02-12,2020-05-07 - 2020-05-23,2020-05-23 - 2020-05-27,2020-05-27 - 2020-05-30,2020-05-30 - 2021-04-20,2021-04-20 - 2021-04-21,2021-04-21 - 2022-02-12
January\n2018,,,,,,,,,,,,,
February\n2018,,,,,,,,,,,,,
March\n2018,,,,,,,,,,,,,
April\n2018,12670,,,,,,,,,,,,
May\n2018,31547,27559,23357,20431,,,,-3988,-4202,-2926,,,
June\n2018,30142,30142,30142,30389,,,,0,0,247,,,
July\n2018,30254,30254,30254,30595,,,,0,0,341,,,
August\n2018,30953,30953,30953,31457,,,,0,0,504,,,
September\n2018,28465,28465,28465,28824,,,,0,0,359,,,
October\n2018,31055,31055,31055,31278,,,,0,0,223,,,
November\n2018,32473,32473,32473,32750,,,,0,0,277,,,
December\n2018,34208,34208,34208,35339,,,,0,0,1131,,,
January\n2019,42033,42033,42033,42034,,,,0,0,1,,,
February\n2019,35570,35570,35570,35571,,,,0,0,1,,,
March\n2019,35049,35049,35049,35052,,,,0,0,3,,,
April\n2019,32268,32268,32268,32273,31160,30534,,0,0,5,-1113,-626,
May\n2019,32080,32080,32080,32084,32084,32361,,0,0,4,0,277,
June\n2019,29907,29907,29907,29915,29915,30291,,0,0,8,0,376,
July\n2019,31444,31444,31444,31454,31454,31863,,0,0,10,0,409,
August\n2019,29712,29712,29712,29718,29718,30118,,0,0,6,0,400,
September\n2019,28220,28220,28220,28229,28229,28565,,0,0,9,0,336,
October\n2019,30974,30974,30974,30989,30989,31318,,0,0,15,0,329,
November\n2019,32848,32848,32848,32865,32865,33242,,0,0,17,0,377,
December\n2019,34145,34145,34145,34155,34155,35242,,0,0,10,0,1087,
January\n2020,40683,40683,40683,40697,40697,40699,9517,0,0,14,0,2,-31182
February\n2020,34543,34543,34565,34584,34584,34586,34586,0,22,19,0,2,0
March\n2020,48753,48753,54417,54451,54498,54498,54498,0,5664,34,47,0,0
April\n2020,50223,50070,56261,56291,56419,56426,56426,-153,6191,30,128,7,0
May\n2020,6756,23843,28513,31878,33181,33184,33184,17087,4670,3365,1303,3,0
June\n2020,,,,,29101,29105,29105,,,,,4,0
July\n2020,,,,,32788,32799,32799,,,,,11,0
August\n2020,,,,,34034,34038,34039,,,,,4,1
September\n2020,,,,,32794,32802,32802,,,,,8,0
October\n2020,,,,,37738,37760,37761,,,,,22,1
November\n2020,,,,,40242,40276,40276,,,,,34,0
December\n2020,,,,,39791,39831,39831,,,,,40,0
January\n2021,,,,,49703,49737,49740,,,,,34,3
February\n2021,,,,,38622,38652,38669,,,,,30,17
March\n2021,,,,,35185,35253,35124,,,,,68,-129
April\n2021,,,,,21449,22818,32829,,,,,1369,10011
May\n2021,,,,,,,32479,,,,,,
June\n2021,,,,,,,30854,,,,,,
July\n2021,,,,,,,33475,,,,,,
August\n2021,,,,,,,36186,,,,,,
September\n2021,,,,,,,31226,,,,,,
October\n2021,,,,,,,32873,,,,,,
November\n2021,,,,,,,35155,,,,,,
December\n2021,,,,,,,40309,,,,,,
January\n2022,,,,,,,44116,,,,,,
February\n2022,,,,,,,15773,,,,,,
March\n2022,,,,,,,,,,,,,
April\n2022,,,,,,,,,,,,,
May\n2022,,,,,,,,,,,,,
June\n2022,,,,,,,,,,,,,
July\n2022,,,,,,,,,,,,,
August\n2022,,,,,,,,,,,,,
September\n2022,,,,,,,,,,,,,
October\n2022,,,,,,,,,,,,,
November\n2022,,,,,,,,,,,,,
December\n2022,,,,,,,,,,,,,
January\n2023,,,,,,,,,,,,,
