Fecha;MoMoOld;MoMoNew;MoMo2019;MoMo2018;INE2018
2020-01-01;1159;1159;1166;;1172
2020-01-02;1224;1224;1233;;1172
2020-01-03;1226;1226;1270;;1172
2020-01-04;1240;1240;1308;;1172
2020-01-05;1196;1197;1305;;1172
2020-01-06;1166;1166;1226;;1172
2020-01-07;1180;1181;1291;;1172
2020-01-08;1332;1333;1322;;1172
2020-01-09;1271;1271;1450;;1172
2020-01-10;1375;1376;1372;;1172
2020-01-11;1348;1350;1316;;1172
2020-01-12;1256;1259;1391;;1172
2020-01-13;1260;1260;1343;;1172
2020-01-14;1337;1337;1362;;1172
2020-01-15;1352;1353;1429;;1172
2020-01-16;1332;1332;1517;;1172
2020-01-17;1478;1478;1376;;1172
2020-01-18;1376;1377;1449;;1172
2020-01-19;1291;1291;1484;;1172
2020-01-20;1231;1231;1327;;1172
2020-01-21;1388;1388;1357;;1172
2020-01-22;1388;1388;1331;;1172
2020-01-23;1360;1360;1375;;1172
2020-01-24;1402;1403;1387;;1172
2020-01-25;1334;1334;1385;;1172
2020-01-26;1295;1295;1386;;1172
2020-01-27;1334;1334;1371;;1172
2020-01-28;1354;1354;1330;;1172
2020-01-29;1398;1399;1364;;1172
2020-01-30;1394;1395;1320;;1172
2020-01-31;1406;1406;1491;;1172
2020-02-01;1312;1314;1471;;1172
2020-02-02;1272;1272;1307;;1172
2020-02-03;1284;1284;1224;;1172
2020-02-04;1304;1305;1256;;1172
2020-02-05;1302;1303;1323;;1172
2020-02-06;1264;1264;1391;;1172
2020-02-07;1270;1270;1302;;1172
2020-02-08;1191;1193;1392;;1172
2020-02-09;1150;1151;1321;;1172
2020-02-10;1152;1152;1188;;1172
2020-02-11;1235;1236;1261;;1172
2020-02-12;1232;1234;1269;;1172
2020-02-13;1284;1285;1349;;1172
2020-02-14;1192;1192;1297;;1172
2020-02-15;1208;1209;1278;;1172
2020-02-16;1074;1075;1246;;1172
2020-02-17;1121;1121;1187;;1172
2020-02-18;1129;1129;1228;;1172
2020-02-19;1089;1090;1338;;1172
2020-02-20;1184;1184;1291;;1172
2020-02-21;1157;1158;1233;;1172
2020-02-22;1173;1173;1215;;1172
2020-02-23;1088;1089;1233;;1172
2020-02-24;1141;1141;1159;;1172
2020-02-25;1124;1125;1111;;1172
