week,2015,2016,2017,2018,2019,2020,2021,2022
2020-01-01,937,870,1006,938,872,862,830,955
2020-01-08,977,864,1048,872,829,952,867,911
2020-01-15,913,939,928,945,812,837,860,823
2020-01-22,930,937,866,857,835,862,851,821
2020-01-29,911,881,914,881,889,815,792,921
2020-02-05,898,852,823,904,843,796,813,887
2020-02-12,866,826,845,928,914,855,768,900
2020-02-19,931,764,898,917,828,813,756,987
2020-02-26,925,873,863,907,821,836,705,961
2020-03-04,976,762,822,950,833,799,790,921
2020-03-11,836,798,805,867,837,826,788,984
2020-03-18,785,802,788,905,805,809,769,976
2020-03-25,795,759,756,807,791,854,719,880
2020-04-01,786,802,809,820,782,831,778,927
2020-04-08,795,773,776,827,757,840,750,828
2020-04-15,777,756,758,778,761,816,752,803
2020-04-22,749,755,816,781,800,777,777,.
2020-04-29,686,748,745,757,775,749,695,.
2020-05-06,729,711,733,738,773,741,705,.
2020-05-13,707,777,694,714,732,686,739,.
2020-05-20,780,713,735,692,741,740,728,.
2020-05-27,716,679,688,758,730,662,725,.
2020-06-03,758,669,724,714,707,677,727,.
2020-06-10,746,729,732,671,737,730,685,.
2020-06-17,712,725,757,703,724,739,696,.
2020-06-24,752,678,733,741,767,684,719,.
2020-07-01,721,756,756,776,736,697,770,.
2020-07-08,693,734,694,737,735,668,716,.
2020-07-15,722,685,749,721,742,754,756,.
2020-07-22,669,721,728,773,721,729,744,.
2020-07-29,663,709,691,679,729,746,767,.
2020-08-05,700,740,742,705,706,738,777,.
2020-08-12,698,717,704,694,734,734,789,.
2020-08-19,732,684,739,754,678,745,784,.
2020-08-26,720,723,730,715,779,699,791,.
2020-09-02,745,759,708,694,714,710,786,.
2020-09-09,712,714,704,706,708,785,819,.
2020-09-16,750,681,697,722,756,773,817,.
2020-09-23,709,740,713,712,820,743,806,.
2020-09-30,766,741,734,702,711,783,804,.
2020-10-07,752,731,764,715,788,743,802,.
2020-10-14,741,786,693,744,785,713,845,.
2020-10-21,752,773,793,696,794,796,893,.
2020-10-28,745,688,746,814,776,791,917,.
2020-11-04,748,810,704,776,785,777,953,.
2020-11-11,753,818,760,737,846,780,915,.
2020-11-18,745,855,791,720,784,800,948,.
2020-11-25,831,789,771,802,780,774,969,.
2020-12-02,804,819,832,823,851,788,1047,.
2020-12-09,816,918,844,759,783,841,978,.
2020-12-16,786,923,897,802,774,823,966,.
2020-12-23,833,982,891,873,805,830,929,.
2020-12-30,851,.,.,.,.,839,.,.
