Mes,Més de 74 anys INE2018,Més de 74 anys INE2019,Més de 74 anys MoMo2020,Més de 74 anys MoMo2021,Més de 74 anys MoMo2022,Entre 65 i 74 anys INE2018,Entre 65 i 74 anys INE2019,Entre 65 i 74 anys MoMo2020,Entre 65 i 74 anys MoMo2021,Entre 65 i 74 anys MoMo2022,Menys de 65 anys INE2018,Menys de 65 anys INE2019,Menys de 65 anys MoMo2020,Menys de 65 anys MoMo2021,Menys de 65 anys MoMo2022
Gener,35997,33074,31834.56,39361.55,34557.46,6027,5665,5730.63,6880.32,6615.32,5887,5502,5607.04,6374.75,6149.06
Febrer,29643,27291,26794.77,29645.35,28547.18,5081,4868,4899.51,6034.46,5447.23,5032,4667,4982.54,5356.45,5090.27
Març,29271,25854,44115.12,26391.91,27572.84,5299,4773,8002,5541.15,5352.36,5202,4527,6466.54,5302.33,5311.04
Abril,25622,24729,47320.16,24796.66,26847.43,4549,4670,7336.35,5112.08,5151.87,4785,4671,6019.92,4960.78,4986.46
Maig,23994,24348,25211.45,24182.55,27809.83,4600,4616,4941.89,5165.73,5220.25,4827,4770,5125.6,5085.3,5127.19
Juny,22793,22608,21782.02,23085.3,27031.79,4407,4453,4397.32,4697.38,5094,4770,4703,4722.87,4904.55,5062.36
Juliol,22947,23909,24996.44,25270.02,33325.64,4444,4504,4793.48,5012.27,5762.64,4824,4970,5081.14,5230.31,5686.18
Agost,23606,22146,26011.66,27568.17,28051.4,4696,4522,4858.39,5296.57,5192.63,4875,4785,5276,5542.43,5249.62
Setembre,21152,20787,24926.06,23203.86,15174.11,4392,4319,4923.43,4903.71,3088.47,4749,4559,5098.56,5020.9,3344.08
Octubre,23345,22727,29042.74,24869.88,,4654,4406,5621.21,4988.57,,4880,4752,5570.9,5026,
Novembre,24809,24164,31567.66,26802.65,,4746,4704,5896.91,5296.04,,4783,4655,5395.37,5153.43,
Desembre,26777,25225,30567.07,30906.91,,5151,4697,5979.06,5927.6,,5105,4660,5627.39,5724.13,
