Mes,Més de 74 anys INE2018,Més de 74 anys INE2019,Més de 74 anys MoMo2020,Més de 74 anys MoMo2021,Més de 74 anys MoMo2022,Més de 74 anys MoMo2023,Entre 65 i 74 anys INE2018,Entre 65 i 74 anys INE2019,Entre 65 i 74 anys MoMo2020,Entre 65 i 74 anys MoMo2021,Entre 65 i 74 anys MoMo2022,Entre 65 i 74 anys MoMo2023,Menys de 65 anys INE2018,Menys de 65 anys INE2019,Menys de 65 anys MoMo2020,Menys de 65 anys MoMo2021,Menys de 65 anys MoMo2022,Menys de 65 anys MoMo2023
Gener,35997,33074,32002.53,39130.99,34558.62,2505.02,6027,5665,5796.37,6841.58,6615.32,549.72,5887,5502,5772.2,6312.01,6121.08,727.56
Febrer,29643,27291,26853.11,29477.79,28545.01,,5081,4868,4961.65,5997.87,5448.23,,5032,4667,5090.4,5304.98,5071.09,
Març,29271,25854,44227.56,26243.7,27573.85,,5299,4773,8053.87,5509.06,5352.36,,5202,4527,6473.25,5246.22,5290.13,
Abril,25622,24729,47453.73,24656.96,26848.44,,4549,4670,7358.17,5083.3,5150.71,,4785,4671,6007.71,4908.12,4970.85,
Maig,23994,24348,25265.11,24040.62,27809.83,,4600,4616,4961.86,5139.04,5222.57,,4827,4770,5121.01,5026.12,5113.6,
Juny,22793,22608,21811.49,22968.3,27032.95,,4407,4453,4417.93,4670.93,5097.33,,4770,4703,4732.91,4858.82,5031.78,
Juliol,22947,23909,25061.67,25154.84,33342.29,,4444,4504,4814.47,4986.3,5776.4,,4824,4970,5094.6,5168.74,5677.92,
Agost,23606,22146,26033.58,27443.31,28064.03,,4696,4522,4892.74,5270.11,5219.18,,4875,4785,5326.87,5483.9,5295.72,
Setembre,21152,20787,24980.59,23096.32,22994.92,,4392,4319,4952.12,4880.94,4761.23,,4749,4559,5105.78,4974.84,4764.68,
Octubre,23345,22727,29028.56,24781.44,25493.06,,4654,4406,5635.04,4966,5137.32,,4880,4752,5582.23,4974.52,4896.59,
Novembre,24809,24164,31588.28,26703.83,25648.87,,4746,4704,5909.17,5266.58,5046.3,,4783,4655,5423.03,5108.47,4983.01,
Desembre,26777,25225,30622.97,30797.3,30332.11,,5151,4697,5986.04,5898,5662.25,,5105,4660,5660.09,5681.36,5311.33,
