Mes;MoMoOld;MoMoNew;2019;2018;2017;2015;2014;2012;2009;2005;2000;1999
Enero;40683;40697;44241;47911;49370;47269;40362;40005;42003;48081;42568;40691
Febrero;34543;34584;36826;39756;37434;42464;34834;43738;32614;37467;32201;39898
Marzo;48753;54498;35154;39772;35779;38987;35179;39292;33445;37528;30212;34486
Abril;50070;56419;34070;34956;33208;33686;31894;32940;31139;30311;29357;28878
Mayo;23843;33181;33734;33421;33673;32706;31540;32297;31297;29837;28493;28011
Junio;;29101;31764;31970;32236;31078;30655;29362;29381;28559;27470;25938
Julio;;32788;33383;32215;31924;35628;30999;29599;29872;28647;27960;28160
Agosto;;34030;31453;33177;32356;31220;30335;30683;30224;27687;27875;27995
Septiembre;;32758;29665;30293;30049;28863;29087;28116;27716;26456;25686;25750
Octubre;;38047;31885;32879;32680;31898;32011;30323;30764;29144;28793;28039
Noviembre;;9974;33523;34338;34149;32346;32466;31804;30940;29657;29113;29342
Diciembre;;;34582;37033;41665;36423;36468;34791;35538;33981;30663;33914
